doc|surfaceForm|start|length|link|
4|Digital Communications|237|22|http://dbpedia.org/resource/Digital_Communications_Associates|
9|U.K.|340|4|http://dbpedia.org/resource/United_Kingdom|
14|VOWG.F|14|6|http://dbpedia.org/resource/Volkswagen|
16|Toronto Dominion Bank, Nassau Branch|0|36|http://dbpedia.org/resource/Toronto-Dominion_Bank|
24|Ministry of Agriculture|883|23|http://dbpedia.org/resource/Ministry_of_Agriculture_(Zambia)|
25|ABSB|181|4|http://dbpedia.org/resource/Alex._Brown_&_Sons|
36|Reuter|155|6|NIL|
36|Japans|433|6|http://dbpedia.org/resource/Japan|
37|Federal|481|7|http://dbpedia.org/resource/Federal_Reserve|
43|Philippine|272|10|http://dbpedia.org/resource/Philippine|
45|FAO|223|3|http://dbpedia.org/resource/Food_and_Agriculture_Organization|
45|FAOs|246|4|http://dbpedia.org/resource/Food_and_Agriculture_Organization|
51|International Business Machines Corp IBM|http://dbpedia.org/resource/IBM|
64|Metrology Division|52|18|NIL|
70|U.S. Government|32|15|http://dbpedia.org/resource/Federal_government_of_the_United_States
70|Federal|157|7|http://dbpedia.org/resource/Federal_Reserve|
70|System|87|6|NIL|
77|Brazils|245|7|http://dbpedia.org/resource/Brazil|
77|Euromarket|716|10|NIL|
77|Euromarket|773|10|NIL|
77|Morgans|915|7|http://dbpedia.org/resource/J._P._Morgan
77|Euromarket|961|10|NIL|
77|Morgans|1870|7|http://dbpedia.org/resource/J._P._Morgan
82|RTRS.L|189|6|http://dbpedia.org/resource/Reuters|
82|Reuter|419|6|NIL|
82|Reuter|944|6|NIL|
86|Senate Appropriations subcommittee|294|34|http://dbpedia.org/resource/United_States_Senate_Committee_on_Appropriations|
86|SECs|699|4|http://dbpedia.org/resource/U.S._Securities_and_Exchange_Commission|
86|U.S.|1111|4|http://dbpedia.org/resource/United_States|
91|Conserv|764|7|NIL|
91|Argimonts|1240|9|NIL|
94|DSMs|363|4|http://dbpedia.org/resource/DSM_(company)|
109|Harcourt Canada|237|15|NIL|
109|Harcourt Canadas|333|16|NIL|
109|U.S.|350|4|http://dbpedia.org/resource/United_States|
109|HBJ|393|3|http://dbpedia.org/resource/Harcourt_(publisher)|
109|CBS|514|3|http://dbpedia.org/resource/CBS|
116|U.S.|65|4|http://dbpedia.org/resource/United_States|
116|Carter|575|6|http://dbpedia.org/resource/Jimmy_Carter|
116|U.S.|841|4|http://dbpedia.org/resource/United_States|
122|ABSB|118|4|http://dbpedia.org/resource/Alex._Brown_&_Sons|
122|Reuter|275|6|NIL|
123|the committee|331|13|http://dbpedia.org/resource/United_States_Senate_Committee_on_the_Budget|
123|Reuter|639|6|NIL|